element,item,year,unit,value,source
Production,Apples,1961,t,456000.0,en_crops_livestock_product.csv
Production,Apples,1962,t,431000.0,en_crops_livestock_product.csv
Production,Apples,1963,t,436000.0,en_crops_livestock_product.csv
Production,Apples,1964,t,447000.0,en_crops_livestock_product.csv
Production,Apples,1965,t,222000.0,en_crops_livestock_product.csv
Production,Apples,1966,t,366654.0,en_crops_livestock_product.csv
Production,Apples,1967,t,360937.0,en_crops_livestock_product.csv
Production,Apples,1968,t,328675.0,en_crops_livestock_product.csv
Production,Apples,1969,t,327690.0,en_crops_livestock_product.csv
Production,Apples,1970,t,308809.0,en_crops_livestock_product.csv
Production,Apples,1971,t,243658.0,en_crops_livestock_product.csv
Production,Apples,1972,t,156358.0,en_crops_livestock_product.csv
Production,Apples,1973,t,287462.0,en_crops_livestock_product.csv
Production,Apples,1974,t,324203.0,en_crops_livestock_product.csv
Production,Apples,1975,t,303746.0,en_crops_livestock_product.csv
Production,Apples,1976,t,329261.0,en_crops_livestock_product.csv
Production,Apples,1977,t,263508.0,en_crops_livestock_product.csv
Production,Apples,1978,t,291186.0,en_crops_livestock_product.csv
Production,Apples,1979,t,326357.0,en_crops_livestock_product.csv
Production,Apples,1980,t,329932.0,en_crops_livestock_product.csv
Production,Apples,1981,t,243199.0,en_crops_livestock_product.csv
Production,Apples,1982,t,428819.0,en_crops_livestock_product.csv
Production,Apples,1983,t,326547.0,en_crops_livestock_product.csv
Production,Apples,1984,t,353195.0,en_crops_livestock_product.csv
Production,Apples,1985,t,293152.0,en_crops_livestock_product.csv
Production,Apples,1986,t,368585.0,en_crops_livestock_product.csv
Production,Apples,1987,t,263532.0,en_crops_livestock_product.csv
Production,Apples,1988,t,413049.0,en_crops_livestock_product.csv
Production,Apples,1989,t,321264.0,en_crops_livestock_product.csv
Production,Apples,1990,t,337741.0,en_crops_livestock_product.csv
Area harvested,Apples,1991,ha,4172.0,en_crops_livestock_product.csv
Yield,Apples,1991,kg/ha,66358.6,en_crops_livestock_product.csv
Production,Apples,1991,t,276848.0,en_crops_livestock_product.csv
Area harvested,Apples,1992,ha,5450.0,en_crops_livestock_product.csv
Yield,Apples,1992,kg/ha,49306.3,en_crops_livestock_product.csv
Production,Apples,1992,t,268719.38,en_crops_livestock_product.csv
Area harvested,Apples,1993,ha,5450.0,en_crops_livestock_product.csv
Yield,Apples,1993,kg/ha,68848.1,en_crops_livestock_product.csv
Production,Apples,1993,t,375222.36,en_crops_livestock_product.csv
Area harvested,Apples,1994,ha,5450.0,en_crops_livestock_product.csv
Yield,Apples,1994,kg/ha,61329.9,en_crops_livestock_product.csv
Production,Apples,1994,t,334247.69,en_crops_livestock_product.csv
Area harvested,Apples,1995,ha,5373.0,en_crops_livestock_product.csv
Yield,Apples,1995,kg/ha,71445.4,en_crops_livestock_product.csv
Production,Apples,1995,t,383876.0,en_crops_livestock_product.csv
Area harvested,Apples,1996,ha,5740.0,en_crops_livestock_product.csv
Yield,Apples,1996,kg/ha,64033.6,en_crops_livestock_product.csv
Production,Apples,1996,t,367553.0,en_crops_livestock_product.csv
Area harvested,Apples,1997,ha,5965.0,en_crops_livestock_product.csv
Yield,Apples,1997,kg/ha,80012.9,en_crops_livestock_product.csv
Production,Apples,1997,t,477277.0,en_crops_livestock_product.csv
Area harvested,Apples,1998,ha,5965.0,en_crops_livestock_product.csv
Yield,Apples,1998,kg/ha,69822.8,en_crops_livestock_product.csv
Production,Apples,1998,t,416492.97,en_crops_livestock_product.csv
Area harvested,Apples,1999,ha,4965.0,en_crops_livestock_product.csv
Yield,Apples,1999,kg/ha,82511.8,en_crops_livestock_product.csv
Production,Apples,1999,t,409671.0,en_crops_livestock_product.csv
Area harvested,Apples,2000,ha,6000.0,en_crops_livestock_product.csv
Yield,Apples,2000,kg/ha,81733.3,en_crops_livestock_product.csv
Production,Apples,2000,t,490400.0,en_crops_livestock_product.csv
Area harvested,Apples,2001,ha,6100.0,en_crops_livestock_product.csv
Yield,Apples,2001,kg/ha,67163.9,en_crops_livestock_product.csv
Production,Apples,2001,t,409700.0,en_crops_livestock_product.csv
