ville,type,date,temperature,humidite,pression,vent,pluie,description
Dakar,current,2025-10-31 19:31:09+00:00,28.47,83,1012,3.09,0.0,partiellement nuageux
Dakar,hourly,2025-10-31 19:00:00+00:00,28.35,81,1012,6.1,0.0,partiellement nuageux
Dakar,hourly,2025-10-31 20:00:00+00:00,28.47,83,1012,6.26,0.0,partiellement nuageux
Dakar,hourly,2025-10-31 21:00:00+00:00,28.36,81,1012,4.58,0.0,partiellement nuageux
Dakar,hourly,2025-10-31 22:00:00+00:00,28.28,79,1012,3.84,0.0,partiellement nuageux
Dakar,hourly,2025-10-31 23:00:00+00:00,28.21,76,1013,3.48,0.0,partiellement nuageux
Dakar,hourly,2025-11-01 00:00:00+00:00,28.12,74,1013,3.72,0.0,partiellement nuageux
Dakar,hourly,2025-11-01 01:00:00+00:00,27.98,73,1013,4.67,0.0,ciel dégagé
Dakar,hourly,2025-11-01 02:00:00+00:00,27.95,73,1012,4.85,0.0,ciel dégagé
Dakar,hourly,2025-11-01 03:00:00+00:00,27.97,73,1012,4.46,0.0,ciel dégagé
Dakar,hourly,2025-11-01 04:00:00+00:00,28.03,73,1012,5.11,0.0,ciel dégagé
Dakar,hourly,2025-11-01 05:00:00+00:00,28.09,72,1012,4.95,0.0,peu nuageux
Dakar,hourly,2025-11-01 06:00:00+00:00,28.15,72,1012,5.06,0.0,peu nuageux
Dakar,hourly,2025-11-01 07:00:00+00:00,28.19,72,1013,4.77,0.0,nuageux
Dakar,hourly,2025-11-01 08:00:00+00:00,28.28,72,1013,5.82,0.0,nuageux
Dakar,hourly,2025-11-01 09:00:00+00:00,28.37,71,1014,6.61,0.0,nuageux
Dakar,hourly,2025-11-01 10:00:00+00:00,28.38,71,1014,6.16,0.0,couvert
Dakar,hourly,2025-11-01 11:00:00+00:00,28.37,71,1014,5.52,0.0,couvert
Dakar,hourly,2025-11-01 12:00:00+00:00,28.39,71,1014,5.86,0.0,couvert
Dakar,hourly,2025-11-01 13:00:00+00:00,28.36,70,1013,5.81,0.0,nuageux
Dakar,hourly,2025-11-01 14:00:00+00:00,28.34,70,1012,5.56,0.0,nuageux
Dakar,hourly,2025-11-01 15:00:00+00:00,28.3,71,1011,5.88,0.0,partiellement nuageux
Dakar,hourly,2025-11-01 16:00:00+00:00,28.22,71,1011,5.21,0.0,nuageux
Dakar,hourly,2025-11-01 17:00:00+00:00,28.16,71,1012,4.86,0.0,nuageux
Dakar,hourly,2025-11-01 18:00:00+00:00,28.08,71,1012,5.01,0.0,nuageux
Dakar,hourly,2025-11-01 19:00:00+00:00,28.08,72,1012,5.57,0.0,couvert
Dakar,hourly,2025-11-01 20:00:00+00:00,28.1,72,1013,6.04,0.0,couvert
Dakar,hourly,2025-11-01 21:00:00+00:00,28.15,72,1013,6.04,0.0,couvert
Dakar,hourly,2025-11-01 22:00:00+00:00,28.16,72,1014,5.65,0.0,couvert
Dakar,hourly,2025-11-01 23:00:00+00:00,28.07,72,1014,6.1,0.0,couvert
Dakar,hourly,2025-11-02 00:00:00+00:00,28.01,72,1013,5.92,0.0,couvert
Dakar,hourly,2025-11-02 01:00:00+00:00,27.95,72,1013,5.53,0.0,ciel dégagé
Dakar,hourly,2025-11-02 02:00:00+00:00,27.92,73,1012,6.09,0.0,peu nuageux
Dakar,hourly,2025-11-02 03:00:00+00:00,27.87,72,1012,5.31,0.0,partiellement nuageux
Dakar,hourly,2025-11-02 04:00:00+00:00,27.82,72,1012,4.42,0.0,partiellement nuageux
Dakar,hourly,2025-11-02 05:00:00+00:00,27.82,72,1012,4.78,0.0,partiellement nuageux
Dakar,hourly,2025-11-02 06:00:00+00:00,27.82,72,1012,4.52,0.0,partiellement nuageux
Dakar,hourly,2025-11-02 07:00:00+00:00,27.83,73,1013,6.5,0.0,ciel dégagé
