Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1961","1961","1000 Int$","1067","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1962","1962","1000 Int$","1422","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1963","1963","1000 Int$","1422","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1964","1964","1000 Int$","1422","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1965","1965","1000 Int$","811","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1966","1966","1000 Int$","686","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1967","1967","1000 Int$","711","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1968","1968","1000 Int$","889","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1969","1969","1000 Int$","1245","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1970","1970","1000 Int$","1422","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1971","1971","1000 Int$","1707","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1972","1972","1000 Int$","1551","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1973","1973","1000 Int$","839","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1974","1974","1000 Int$","954","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1975","1975","1000 Int$","1636","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1976","1976","1000 Int$","1778","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1977","1977","1000 Int$","1778","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1978","1978","1000 Int$","1778","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1979","1979","1000 Int$","1956","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1980","1980","1000 Int$","1956","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1981","1981","1000 Int$","2134","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1982","1982","1000 Int$","2134","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1983","1983","1000 Int$","2134","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1984","1984","1000 Int$","2134","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1985","1985","1000 Int$","2134","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1986","1986","1000 Int$","2134","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1987","1987","1000 Int$","2134","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1988","1988","1000 Int$","2134","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1989","1989","1000 Int$","1245","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1990","1990","1000 Int$","2134","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1991","1991","1000 Int$","1780","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1992","1992","1000 Int$","1816","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1993","1993","1000 Int$","2355","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1994","1994","1000 Int$","2566","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","152","Gross Production Value (constant 2014-2016 thousand I$)","01312","Bananas","1995","1995","1000 Int$","3023","E","Estimated value"
